# entry,map,zone,area,x,y,z,orientation,wander_distance
36,0,0,0,-10228.7000,1864.0200,37.0376,4.62633,10.0
36,0,0,0,-10225.2000,1011.3900,35.0080,-0.34173,0.0
36,0,0,0,-10219.1000,1038.4000,35.8961,4.10137,5.0
36,0,0,0,-10199.4000,1026.9200,36.3607,5.96341,0.0
36,0,0,0,-10192.7000,1015.9700,38.2403,0.00000,0.0
36,0,0,0,-10192.3000,1255.6300,36.3670,-0.81822,10.0
36,0,0,0,-10189.2000,1302.2900,36.7473,3.75987,10.0
36,0,0,0,-10181.0000,1340.9900,37.9607,3.78997,10.0
36,0,0,0,-10169.2000,1278.0800,37.2355,4.91583,10.0
36,0,0,0,-10154.5000,1310.8200,38.6748,0.55933,10.0
36,0,0,0,-10151.2000,1313.3400,38.8169,1.00027,10.0
38,0,0,0,-9147.7400,-341.3400,72.7860,4.69789,0.0
38,0,0,0,-9144.9700,-368.7070,72.0304,2.68893,0.0
38,0,0,0,-9141.5300,-290.9030,72.5665,3.26377,0.0
38,0,0,0,-9135.2000,-282.0320,72.1678,5.44543,0.0
38,0,0,0,-9131.1000,-323.6780,73.0066,1.20518,0.0
38,0,0,0,-9130.1700,-263.6140,72.5258,4.62631,0.0
38,0,0,0,-9128.1100,-355.0490,73.4938,5.71384,0.0
38,0,0,0,-9124.9300,-389.3330,72.7234,5.29585,0.0
38,0,0,0,-9120.2900,-269.8480,73.6024,4.02247,0.0
38,0,0,0,-9112.4500,-244.7690,75.5258,1.77427,10.0
38,0,0,0,-9110.3400,-338.5930,73.4938,2.70326,10.0
38,0,0,0,-9110.0500,-311.6550,73.5303,1.26827,0.0
38,0,0,0,-9102.6000,-357.9890,73.5504,5.51633,0.0
38,0,0,0,-9099.0500,-277.9790,73.2813,2.38933,0.0
38,0,0,0,-9093.8000,-355.7780,73.5757,4.01018,10.0
38,0,0,0,-9091.0800,-421.4060,73.9978,4.09253,5.0
38,0,0,0,-9090.7200,-331.0230,73.4716,0.84854,10.0
38,0,0,0,-9090.6700,-397.5800,73.1227,2.95765,5.0
38,0,0,0,-9086.4800,-314.1650,73.4716,5.60884,0.0
38,0,0,0,-9084.7400,-279.0070,73.7400,5.68111,0.0
38,0,0,0,-9083.3100,-301.3320,73.4003,0.05236,0.0
38,0,0,0,-9081.5400,-299.6980,73.5213,4.59022,0.0
38,0,0,0,-9079.8100,-247.9250,73.8253,0.69836,10.0
38,0,0,0,-9079.4800,-236.6980,73.5753,5.91654,10.0
38,0,0,0,-9078.1700,-331.1320,73.4716,5.25754,0.0
38,0,0,0,-9077.5600,-334.0760,73.5351,1.29154,0.0
38,0,0,0,-9077.3200,-377.2280,73.5343,1.32645,0.0
38,0,0,0,-9075.3300,-332.1200,73.5351,3.66519,0.0
38,0,0,0,-9073.8200,-376.8690,73.5351,2.44346,0.0
38,0,0,0,-9071.8700,-355.2350,73.5757,0.88184,10.0
38,0,0,0,-9068.3200,-288.5800,73.7368,0.79308,10.0
38,0,0,0,-9062.8900,-267.7520,73.9798,3.11380,10.0
38,0,0,0,-9061.1200,-369.5220,73.5131,3.81119,10.0
38,0,0,0,-9058.1800,-325.6270,73.5767,4.24052,0.0
38,0,0,0,-9054.5000,-311.6450,73.5767,5.60214,10.0
38,0,0,0,-9053.6300,-410.6690,72.0890,4.16758,5.0
38,0,0,0,-9052.2400,-458.0630,72.6514,2.07694,0.0
38,0,0,0,-9046.8500,-343.5340,73.5767,0.92428,10.0
38,0,0,0,-9046.8200,-375.0020,74.1866,1.25406,10.0
38,0,0,0,-9045.0500,-324.7020,73.5767,4.84956,10.0
38,0,0,0,-9039.4900,-264.7370,73.6806,4.56933,10.0
38,0,0,0,-9034.1900,-397.8090,72.6381,1.83317,10.0
38,0,0,0,-9033.8200,-301.6110,74.7497,5.89921,0.0
38,0,0,0,-9031.5700,-304.3350,74.4903,1.78024,0.0
38,0,0,0,-9030.7900,-285.6420,75.5096,6.25018,5.0
38,0,0,0,-9028.0700,-297.1340,75.3265,5.46843,0.0
38,0,0,0,-9028.0100,-359.9720,75.5033,1.19357,5.0
38,0,0,0,-9027.9800,-383.9220,75.0318,1.25572,10.0
38,0,0,0,-9025.5000,-340.6370,74.5033,4.86725,5.0
38,0,0,0,-9003.3000,-363.3040,75.0033,3.74668,0.0
38,0,0,0,-8998.7800,-390.3470,71.8185,4.87939,10.0
38,0,0,0,-8994.5900,-312.3640,71.9033,1.76278,0.0
38,0,0,0,-8980.8400,-411.6070,69.5317,6.01341,0.0
38,0,0,0,-8975.7000,-338.1560,73.2266,0.51001,10.0
38,0,0,0,-8964.3000,-334.2480,71.6651,2.91509,0.0
38,0,0,0,-8963.1000,-370.2710,73.0808,1.16937,5.0
38,0,0,0,-8958.3700,-431.3050,64.7884,1.25664,0.0
38,0,0,0,-8956.9100,-389.8640,70.2980,2.37787,5.0
38,0,0,0,-8956.2300,-422.4180,65.3401,4.52040,0.0
38,0,0,0,-8951.4700,-429.9560,65.1523,1.95477,0.0
38,0,0,0,-8938.1700,-372.8830,71.9230,6.04404,10.0
38,0,0,0,-8929.8000,-356.5010,72.2315,1.04143,10.0
38,0,0,0,-8924.1100,-445.3150,68.1632,0.00000,5.0
38,0,0,0,-8917.8700,-381.1320,70.7183,1.76861,5.0
38,0,0,0,-8916.7900,-403.2770,67.5052,0.82700,10.0
38,0,0,0,-8912.9800,-361.3530,73.4038,0.84824,10.0
38,0,0,0,-8886.6800,-392.4380,67.5338,0.21749,5.0
38,0,0,0,-8886.3500,-445.4520,65.1291,3.39385,5.0
38,0,0,0,-8878.2900,-410.9940,65.7157,4.53505,0.0
38,0,0,0,-8869.7400,-371.5710,72.0051,0.59226,10.0
38,0,0,0,-8869.4500,-373.7830,71.6896,2.31791,0.0
40,0,0,0,-9823.7600,122.3620,4.1112,0.17254,5.0
40,0,0,0,-9822.4100,82.0952,3.0321,4.89061,5.0
40,0,0,0,-9814.6500,151.7840,26.0611,0.17816,0.0
40,0,0,0,-9813.5700,109.1960,6.2263,4.81172,0.0
40,0,0,0,-9806.9900,116.7140,24.4186,1.64476,5.0
40,0,0,0,-9800.9100,117.8070,5.8971,1.15769,0.0
40,0,0,0,-9797.3800,131.6320,24.5919,2.91242,5.0
40,0,0,0,-9794.0900,148.1580,24.2717,4.75735,5.0
40,0,0,0,-9793.2300,90.1409,28.8422,2.67237,5.0
40,0,0,0,-9792.0800,91.4188,4.9241,6.23839,5.0
40,0,0,0,-9789.3100,111.6680,4.7601,4.32913,0.0
40,0,0,0,-9788.1800,97.4281,28.4897,1.36379,5.0
40,0,0,0,-9782.1000,139.4070,26.3338,2.39189,0.0
40,0,0,0,-9774.1200,102.9400,28.0003,2.28045,5.0
40,0,0,0,-9770.1100,155.2170,25.0652,0.04571,0.0
40,0,0,0,-9761.7500,106.7570,26.5586,3.19397,5.0
40,0,0,0,-9760.5600,87.6726,12.5440,2.89838,0.0
40,0,0,0,-9759.3100,148.9830,22.4178,1.22528,0.0
40,0,0,0,-9748.7100,134.7680,19.3349,5.06639,5.0
40,0,0,0,-9743.4200,95.6006,12.5796,1.37507,5.0
40,0,0,0,-9737.8400,136.1190,19.2009,5.81502,5.0
40,0,0,0,-9732.3800,117.8630,24.6974,3.69457,0.0
40,0,0,0,-9354.6000,-675.0240,67.3725,5.00572,5.0
40,0,0,0,-9327.7500,-647.8480,69.3101,2.62899,5.0
40,0,0,0,-9326.8200,-713.0300,67.5269,2.95107,5.0
40,0,0,0,-9324.3400,-478.4390,72.3960,5.24075,5.0
40,0,0,0,-9321.6400,-578.6050,69.9680,5.69867,5.0
40,0,0,0,-9289.5100,-615.6270,66.1828,5.91573,5.0
40,0,0,0,-9285.9000,-679.1030,64.3406,3.58120,5.0
40,0,0,0,-9268.7000,-703.3100,63.1625,1.79260,5.0
40,0,0,0,-9268.0400,-549.4610,66.9000,0.17478,5.0
40,0,0,0,-9256.0300,-707.8890,63.1122,0.94248,0.0
40,0,0,0,-9254.8500,-696.3380,64.0150,3.07881,5.0
40,0,0,0,-9248.6900,-655.3110,64.3173,5.22255,5.0
40,0,0,0,-9245.2900,-713.3720,63.0387,1.91986,0.0
40,0,0,0,-9244.1400,-586.0690,65.7298,5.65726,5.0
40,0,0,0,-9220.8000,-671.2700,62.8900,1.65247,5.0
40,0,0,0,-9219.6900,-617.9620,61.2770,3.19243,5.0
40,0,0,0,-9185.2800,-645.0800,65.7150,2.60017,5.0
40,0,0,0,-9172.2500,-599.4120,63.0200,4.22370,5.0
40,0,0,0,-9161.7800,-571.5960,58.1243,0.71247,5.0
40,0,0,0,-9141.2200,-599.1800,57.8545,5.51055,5.0
40,0,0,0,-9131.9000,-596.1610,57.4463,0.00000,5.0
40,0,0,0,-9117.7800,-585.7820,57.6593,2.84701,0.0
40,0,0,0,-9116.5800,-568.4540,59.1573,3.95177,0.0
40,0,0,0,-9101.4400,-598.5800,57.0622,2.50615,5.0
40,0,0,0,-9094.3900,-586.5190,58.1082,5.16445,5.0
40,0,0,0,-9087.9300,-589.5900,58.4971,0.77356,5.0
40,0,0,0,-9086.5600,-556.3550,60.7947,0.21538,0.0
40,0,0,0,-9085.3600,-576.0670,61.9363,1.58841,5.0
40,0,0,0,-9078.9500,-582.2700,62.3445,2.29443,0.0
43,0,0,0,-9066.4000,-548.1240,58.4333,4.03298,0.0
43,0,0,0,-9048.8200,-616.7290,53.0161,3.73272,0.0
43,0,0,0,-9040.3300,-554.0650,55.6714,1.09758,0.0
43,0,0,0,-9037.7600,-607.9920,53.5171,5.62913,0.0
43,0,0,0,-9033.9800,-585.4410,56.3370,0.00000,0.0
43,0,0,0,-9030.1700,-613.5310,56.6102,1.00271,0.0
43,0,0,0,-9025.1700,-602.7820,56.2169,4.73095,0.0
43,0,0,0,-9025.1200,-565.5930,54.9760,0.00000,0.0
46,0,0,0,-9946.9900,-281.3910,29.2420,5.03722,0.0
46,0,0,0,-9943.4500,-1087.1800,21.4983,0.00000,0.0
46,0,0,0,-9940.7200,-1111.8500,22.2972,1.85005,0.0
46,0,0,0,-9933.1900,-1164.3500,20.9409,4.45059,0.0
46,0,0,0,-9928.9800,-1156.7100,22.2152,3.42085,0.0
46,0,0,0,-9928.7400,-1129.8800,23.6526,2.75762,0.0
46,0,0,0,-9928.7200,-1097.6000,24.0897,2.89725,0.0
46,0,0,0,-9920.1100,-1123.1700,24.7945,0.64089,5.0
46,0,0,0,-9917.7400,-847.0710,19.9035,4.62410,5.0
46,0,0,0,-9915.9800,-846.3810,20.0111,4.87445,5.0
46,0,0,0,-9913.1300,-1058.6000,25.3447,4.38447,0.0
46,0,0,0,-9911.7500,-420.7140,26.9035,5.60960,0.0
46,0,0,0,-9911.0700,-1145.6500,23.7459,4.59022,0.0
46,0,0,0,-9904.0700,-1107.8600,27.1617,4.83965,5.0
46,0,0,0,-9893.4500,-747.8530,20.6947,3.57606,5.0
46,0,0,0,-9889.4300,-442.8110,28.3063,6.05858,5.0
46,0,0,0,-9885.6900,-893.4220,30.3454,2.03619,5.0
46,0,0,0,-9876.7500,-822.1580,29.6442,4.43610,0.0
46,0,0,0,-9860.7100,-711.2890,29.0377,6.05668,5.0
46,0,0,0,-9856.1300,-663.6080,21.4616,4.31579,5.0
46,0,0,0,-9855.2900,-1127.5800,29.5544,0.47124,0.0
46,0,0,0,-9847.4600,-522.9080,25.1326,0.78540,0.0
46,0,0,0,-9846.2800,-587.6540,21.5072,0.01615,0.0
46,0,0,0,-9804.3000,-612.0810,31.7165,0.36321,5.0
46,0,0,0,-9283.1100,-1220.1600,69.9581,4.98484,0.0
46,0,0,0,-9263.4300,-1218.4800,71.9350,2.80998,0.0
46,0,0,0,-9255.8400,-1215.6100,72.5196,0.66322,0.0
46,0,0,0,-9250.7600,-1186.9500,68.3633,1.07394,5.0
46,0,0,0,-9244.0100,-1221.5700,73.3574,5.68404,5.0
46,0,0,0,-9239.3600,-1187.5800,69.2406,0.78540,0.0
46,0,0,0,-9229.5700,-1199.4400,67.7157,1.13446,0.0
46,0,0,0,-9217.6000,-1229.0300,72.6829,1.85005,0.0
46,0,0,0,-9212.7500,-1203.9900,66.0998,2.82743,5.0
46,0,0,0,-9194.5800,-1214.8700,68.4347,1.08210,0.0
46,0,0,0,-9191.3300,-1218.3300,69.6672,1.57080,5.0
46,0,0,0,-9113.9800,-1222.3700,66.5227,0.14923,5.0
46,0,0,0,-9055.2400,-1222.3900,69.4903,2.26893,0.0
46,0,0,0,-9049.5900,-1220.9600,69.3406,1.65806,0.0
46,0,0,0,-9043.7400,-1219.1500,68.4732,4.73380,5.0
46,0,0,0,-9036.3900,-1212.1500,65.7656,2.14675,0.0
46,0,0,0,-9031.6800,-1225.3200,70.3526,3.37615,5.0
46,0,0,0,-9011.3600,-1224.2900,73.3099,3.14159,0.0
46,0,0,0,-9010.6700,-1239.9900,74.3252,4.73973,5.0
46,0,0,0,-9004.0700,-1210.5800,71.5857,5.73500,5.0
46,0,0,0,-8989.4700,-1223.1000,73.4447,2.65290,0.0
46,0,0,0,-8986.8300,-1218.4700,72.9880,2.56563,0.0
46,0,0,0,-8986.6700,-1251.8400,76.4544,5.71529,5.0
46,0,0,0,-8986.0800,-1213.2300,72.5967,5.37309,5.0
46,0,0,0,-8983.6200,-1170.0500,65.0869,2.68781,0.0
46,0,0,0,-8979.1300,-1192.8000,71.1776,0.11757,5.0
46,0,0,0,-8978.2100,-1179.8500,68.6126,0.97839,5.0
46,0,0,0,-8970.3700,-1200.5600,71.9820,2.63545,0.0
46,0,0,0,-8966.2300,-1168.5300,68.5689,3.61283,0.0
46,0,0,0,-8964.4900,-1162.6600,67.8175,2.56563,5.0
46,0,0,0,-8960.2600,-1147.7400,65.6319,3.22258,5.0
46,0,0,0,-8946.8500,-1222.7100,74.1843,2.39789,5.0
46,0,0,0,-8938.8700,-1191.6900,72.9322,6.03309,5.0
46,0,0,0,-8913.7100,-1191.3500,74.8563,5.07544,5.0
54,0,0,0,-9464.8700,93.9896,58.5271,0.00000,0.0
60,0,0,0,-9250.8900,-708.1870,62.9000,1.55070,0.0
61,0,0,0,-9862.9700,-232.6510,35.4440,0.57999,0.0
61,0,0,0,-9859.0700,-217.8460,36.3363,3.86060,0.0
61,0,0,0,-9778.6100,-1586.3400,41.4733,4.47400,0.0
61,0,0,0,-9774.5500,-1563.9600,41.9608,4.03496,0.0
61,0,0,0,-9326.4100,543.2830,75.0137,4.24072,0.0
61,0,0,0,-9303.1900,-292.2310,70.7300,3.22000,0.0
61,0,0,0,-9282.0600,520.8880,85.8028,4.49441,0.0
61,0,0,0,-9261.5800,465.9590,83.0718,3.91400,0.0
66,0,0,0,-9494.1300,83.9096,56.6586,5.96903,0.0
69,0,0,0,-9079.8500,-182.0280,74.6405,6.06449,0.0
69,0,0,0,-9038.1100,-177.2880,76.8733,2.59264,5.0
69,0,0,0,-9028.4100,-164.7290,79.2117,5.30062,5.0
69,0,0,0,-9017.9600,-196.5600,75.0036,3.10197,5.0
69,0,0,0,-8994.5500,-250.2910,72.0086,3.53139,5.0
69,0,0,0,-8989.8800,-170.7310,78.3374,1.19042,5.0
69,0,0,0,-8979.8300,-213.1400,73.9520,4.21105,0.0
69,0,0,0,-8966.6300,-231.0210,76.2175,4.71720,5.0
69,0,0,0,-8961.1900,-231.9100,76.9597,1.20516,5.0
69,0,0,0,-8951.0000,-252.9690,76.0696,3.51775,5.0
69,0,0,0,-8937.8000,-259.4550,77.0463,0.67601,5.0
69,0,0,0,-8920.5000,-255.8010,79.6554,3.65420,5.0
69,0,0,0,-8916.0700,-287.6900,77.2543,3.59651,5.0
69,0,0,0,-8901.4400,-265.2690,79.2182,0.22555,5.0
69,0,0,0,-8876.6400,-291.2900,78.0791,5.03571,5.0
69,0,0,0,-8875.7400,-242.9380,81.8754,1.17205,5.0
69,0,0,0,-8872.6500,-57.9788,86.3110,1.45920,5.0
69,0,0,0,-8851.4100,-84.0900,84.0794,5.41710,5.0
69,0,0,0,-8845.7300,-287.0210,78.3529,4.98699,5.0
69,0,0,0,-8836.1900,-306.5460,76.6022,5.82215,5.0
69,0,0,0,-8827.5800,-292.0200,79.3608,0.33448,5.0
69,0,0,0,-8813.3600,-179.6020,82.1866,1.63724,5.0
69,0,0,0,-8805.3700,-205.4600,82.6964,6.05053,5.0
69,0,0,0,-8804.4900,-136.6220,83.8785,3.02099,5.0
69,0,0,0,-8789.7600,-69.8060,90.1900,5.78970,5.0
69,0,0,0,-8781.3200,-59.8318,91.9924,5.18477,5.0
69,0,0,0,-8766.0400,-232.2130,85.4296,3.70092,5.0
69,0,0,0,-8761.9000,-66.2644,92.2944,4.47272,5.0
69,0,0,0,-8753.2000,-33.3754,92.5098,1.87129,5.0
69,0,0,0,-8752.8700,-295.0460,79.4607,5.62039,5.0
69,0,0,0,-8752.6300,-81.9882,92.7991,0.63891,5.0
69,0,0,0,-8748.6700,-50.3176,92.2134,2.86224,5.0
69,0,0,0,-8747.5600,-135.7830,83.7125,5.44551,5.0
69,0,0,0,-8737.0900,-94.3173,90.1741,3.34832,5.0
69,0,0,0,-8736.2900,-72.8328,92.3321,6.01294,5.0
69,0,0,0,-8718.7900,-148.3530,86.1238,3.38237,5.0
74,0,0,0,-9457.6400,99.6884,58.4271,4.11898,0.0
78,0,0,0,-8909.4600,-104.1630,82.0314,4.39823,0.0
79,0,0,0,-9733.3500,114.7840,24.4159,5.41347,0.0
80,0,0,0,-8671.8300,-123.3400,92.1135,1.68621,7.0
80,0,0,0,-8657.9000,-124.6690,91.0275,5.76153,7.0
80,0,0,0,-8654.9100,-127.0060,89.6647,2.81590,0.0
80,0,0,0,-8640.5800,-113.2890,87.0824,2.97738,7.0
80,0,0,0,-8640.1900,-143.5590,86.8829,1.44862,7.0
80,0,0,0,-8639.0800,-132.9490,87.0940,6.08973,7.0
80,0,0,0,-8635.2700,-110.3260,86.9396,4.78637,7.0
80,0,0,0,-8632.3300,-143.7530,86.3842,3.27452,7.0
80,0,0,0,-8616.2700,-143.3340,87.4937,0.40905,7.0
80,0,0,0,-8613.7700,-152.9820,86.2569,3.08878,7.0
80,0,0,0,-8610.9200,-171.6020,85.7916,0.60296,7.0
80,0,0,0,-8609.0800,-141.2390,87.7624,3.50514,0.0
80,0,0,0,-8601.2300,-138.1950,87.8068,4.00536,0.0
80,0,0,0,-8596.0800,-173.8720,87.2408,2.94578,0.0
80,0,0,0,-8588.9700,-147.3950,89.6137,2.07603,0.0
80,0,0,0,-8582.8200,-171.9290,91.1493,4.13820,0.0
80,0,0,0,-8573.4800,-150.5060,89.8691,1.40641,0.0
80,0,0,0,-8564.9400,-203.6950,84.3839,1.86342,0.0
80,0,0,0,-8561.0500,-217.5280,85.5112,4.95625,0.0
80,0,0,0,-8559.7200,-210.5640,84.4113,2.62464,0.0
80,0,0,0,-8555.4700,-149.3700,88.5302,5.12587,0.0
80,0,0,0,-8550.4100,-163.0720,86.6575,3.85330,0.0
80,0,0,0,-8548.7800,-207.2370,85.2835,5.05884,0.0
80,0,0,0,-8538.1200,-184.3560,84.0459,4.52718,0.0
80,0,0,0,-8534.0000,-199.0000,83.7842,3.14200,7.0
94,0,0,0,-9489.7400,311.8780,56.2060,6.20915,5.0
94,0,0,0,-9486.5400,277.4080,52.9888,3.26632,5.0
94,0,0,0,-9471.9600,254.5460,53.9546,6.21279,5.0
94,0,0,0,-9464.9200,275.7630,53.5246,4.97254,5.0
94,0,0,0,-9287.2100,281.5590,70.2246,3.36619,5.0
94,0,0,0,-9278.9500,203.2980,67.6360,4.66906,5.0
94,0,0,0,-9263.4200,-24.1155,73.1425,4.06441,5.0
94,0,0,0,-9251.3600,-11.6955,73.4498,4.86727,5.0
94,0,0,0,-9243.7800,122.2460,72.4850,0.48123,5.0
94,0,0,0,-9237.6600,40.2561,73.3568,3.72285,5.0
94,0,0,0,-9218.3300,241.1760,73.3824,5.08100,5.0
94,0,0,0,-9217.5300,232.1670,73.2003,4.64607,5.0
94,0,0,0,-9216.3700,19.9618,76.9682,0.82549,5.0
94,0,0,0,-9216.1700,147.5540,72.3877,3.05173,5.0
94,0,0,0,-9213.3300,19.1130,77.0960,0.69243,5.0
94,0,0,0,-9210.6500,134.5400,72.7013,4.70716,5.0
94,0,0,0,-9197.8600,73.8136,77.4574,4.42985,5.0
94,0,0,0,-9195.6000,185.9830,73.8650,3.34746,5.0
94,0,0,0,-9193.7900,179.5460,73.7525,5.65411,5.0
94,0,0,0,-9190.4400,187.5390,74.0354,3.28073,5.0
94,0,0,0,-9189.0500,110.7960,75.8540,3.78750,5.0
94,0,0,0,-9185.4700,118.8260,74.5898,4.68115,5.0
94,0,0,0,-9184.2700,82.9969,77.8678,0.00000,5.0
94,0,0,0,-9178.4200,37.4651,77.9614,4.87576,5.0
94,0,0,0,-9175.1600,78.2666,77.6793,2.67358,5.0
94,0,0,0,-9162.5700,94.5477,76.3557,3.78736,5.0
94,0,0,0,-9162.3700,84.6315,77.0762,1.91986,5.0
94,0,0,0,-9158.6300,88.1075,76.4952,3.05433,5.0
94,0,0,0,-9144.3700,53.7751,77.7479,4.62874,5.0
94,0,0,0,-9143.1400,58.0315,77.4185,5.11831,5.0
94,0,0,0,-9123.2800,45.5078,81.5248,0.00000,5.0
94,0,0,0,-9120.6600,38.1426,82.7540,5.63773,5.0
94,0,0,0,-9116.3200,16.1908,86.1412,0.00000,5.0
94,0,0,0,-9109.1400,6.6469,88.2881,5.75035,5.0
95,0,0,0,-10645.0000,1385.8200,41.7622,5.02655,0.0
95,0,0,0,-10503.9000,1246.2400,69.1163,2.11859,5.0
95,0,0,0,-10497.6000,1328.4800,42.6518,5.93412,0.0
95,0,0,0,-10488.6000,1211.1700,67.1799,1.08532,0.0
95,0,0,0,-10487.5000,1328.7800,42.6935,3.52556,0.0
95,0,0,0,-10483.3000,1283.4700,56.8082,1.22109,5.0
95,0,0,0,-10452.8000,1317.7900,44.8119,5.69995,5.0
95,0,0,0,-10381.3000,1276.9900,44.1102,1.37881,0.0
95,0,0,0,-10374.7000,1576.8700,41.7279,4.84872,5.0
95,0,0,0,-10353.7000,1588.6700,40.6250,5.73731,5.0
95,0,0,0,-10347.1000,1567.0100,41.3426,2.16421,0.0
95,0,0,0,-10344.4000,1552.3900,41.8947,5.27040,5.0
95,0,0,0,-10343.6000,1223.4000,40.3074,6.24828,0.0
95,0,0,0,-10335.1000,1239.6200,39.4897,0.00000,0.0
95,0,0,0,-10326.2000,1394.6300,41.1257,2.26524,5.0
95,0,0,0,-10324.6000,1413.1400,40.4493,3.32955,5.0
95,0,0,0,-10311.5000,1400.0600,41.4070,0.40143,0.0
95,0,0,0,-10282.5000,1386.5300,40.2983,1.30900,0.0
95,0,0,0,-10278.0000,1389.6500,40.1833,2.96706,0.0
95,0,0,0,-10027.7000,1431.9400,41.0688,2.18166,0.0
95,0,0,0,-10026.2000,1479.5200,41.4131,5.45774,5.0
95,0,0,0,-10020.1000,1413.7200,41.6490,0.80086,5.0
95,0,0,0,-10013.0000,1451.5500,41.5273,3.70010,0.0
95,0,0,0,-10005.1000,1476.4400,40.7722,3.76991,0.0
95,0,0,0,-10001.2000,1470.4000,40.9513,3.03687,0.0
