# entry,name,subclass,displayid,inventory_type,item_level,required_level,dmg_min,dmg_max,dmg_type,delay,quality
2025,Bearded Axe,1,22115,17,20,15,31.0,47.0,0,3300,1
2026,Rock Hammer,5,8593,17,21,16,37.0,56.0,0,3700,1
2027,Scimitar,7,22079,13,19,14,14.0,26.0,0,2300,1
2028,Hammer,4,22119,13,21,16,16.0,30.0,0,2400,1
2029,Cleaver,0,19281,13,20,15,14.0,26.0,0,2200,1
2030,Gnarled Staff,10,22146,17,20,15,27.0,42.0,0,2900,1
2035,Sword of the Night Sky,7,5161,13,24,19,14.0,27.0,0,1700,2
2042,Staff of Westfall,10,20379,17,24,0,49.0,74.0,0,3000,3
2044,Crescent of Forlorn Spirits,0,19220,13,35,0,25.0,48.0,0,1600,3
2046,Bluegill Kukri,7,22226,13,24,19,24.0,45.0,0,2800,2
2047,Anvilmar Hand Axe,0,8473,21,5,0,2.0,5.0,0,2000,1
2048,Anvilmar Hammer,4,19770,21,5,0,3.0,6.0,0,2100,1
2054,Trogg Hand Axe,0,19299,21,4,1,2.0,4.0,0,2000,1
2055,Small Wooden Hammer,4,8579,21,4,1,2.0,4.0,0,1900,1
2056,The Velvet Hammer,4,1758,21,10,5,4.0,9.0,0,2000,0
2057,Pitted Defias Shortsword,7,20175,21,4,1,2.0,4.0,0,2000,1
2064,Trogg Club,4,19650,21,11,6,6.0,13.0,0,2000,1
2065,Rockjaw Blade,7,20212,21,9,4,5.0,11.0,0,2100,1
2066,Skull Hatchet,0,19203,21,8,3,4.0,9.0,0,2000,1
2067,Frostbit Staff,10,20431,17,10,5,12.0,19.0,0,2700,1
2073,Dwarven Hatchet,0,19134,21,15,10,10.0,20.0,0,2000,2
2074,Solid Shortblade,7,20168,13,18,0,16.0,30.0,0,2500,2
2075,Priest's Mace,4,5218,21,12,7,9.0,17.0,0,2000,2
2078,Northern Shortsword,7,20157,13,18,13,14.0,26.0,0,2200,2
2079,Sergeant's Warhammer,4,19637,13,17,12,12.0,24.0,0,2100,2
2088,Long Crawler Limb,15,6455,13,15,10,8.0,16.0,0,1600,2
2089,Scrimshaw Dagger,15,20407,13,18,0,11.0,21.0,0,1800,2
2092,Worn Dagger,15,6442,13,2,1,1.0,2.0,0,1600,1
2128,Scratched Claymore,8,2380,17,4,1,4.0,6.0,0,2800,1
2130,Club,4,22118,13,3,1,1.0,3.0,0,1900,1
2131,Shortsword,7,22075,13,3,1,2.0,4.0,0,2600,1
2132,Short Staff,10,22149,17,4,1,5.0,8.0,0,3200,1
2134,Hand Axe,0,22101,13,4,1,2.0,4.0,0,2000,1
2137,Whittling Knife,15,6437,13,5,0,2.0,4.0,0,1500,1
2138,Sharpened Letter Opener,15,6460,13,7,2,2.0,5.0,0,1700,0
2139,Dirk,15,22135,13,3,1,1.0,3.0,0,1600,1
2140,Carving Knife,15,6440,13,11,6,6.0,13.0,0,1600,2
2169,Buzzer Blade,15,20347,13,21,16,14.0,28.0,0,1500,3
2175,Shadowhide Battle Axe,1,8534,17,23,18,39.0,59.0,0,3200,2
2194,Diamond Hammer,4,8567,13,25,20,28.0,53.0,0,2500,3
2195,Anvilmar Knife,15,6432,13,5,0,2.0,4.0,0,1600,1
2203,Brashclaw's Chopper,1,8506,17,19,14,34.0,51.0,0,3400,2
2204,Brashclaw's Skewer,8,20038,17,17,12,29.0,44.0,0,3200,2
2205,Duskbringer,8,20153,17,25,20,57.0,86.0,0,3400,3
2207,Jambiya,15,22137,13,16,11,7.0,13.0,0,1400,1
2208,Poniard,15,22142,13,19,14,7.0,15.0,0,1300,1
2209,Kris,15,22139,13,24,19,12.0,23.0,0,1600,1
2218,Craftsman's Dagger,15,20451,13,13,0,8.0,15.0,0,1700,2
2224,Militia Dagger,15,6432,13,5,0,2.0,4.0,0,1500,1
2225,Sharp Kitchen Knife,15,20470,13,11,0,5.0,10.0,0,1500,1
2235,Brackclaw,15,20598,13,19,14,9.0,18.0,0,1400,2
2236,Blackfang,15,20345,13,25,20,17.0,32.0,0,1500,3
2254,Icepane Warhammer,5,19612,17,12,7,22.0,34.0,0,3300,2
2256,Skeletal Club,4,5221,13,24,19,28.0,53.0,0,2600,3
2257,Frostmane Staff,10,20429,17,10,5,14.0,21.0,0,3100,1
2258,Frostmane Shortsword,7,4260,21,8,3,4.0,9.0,0,2000,1
2259,Frostmane Club,4,19623,21,8,3,4.0,9.0,0,2000,1
2260,Frostmane Hand Axe,0,8470,21,9,4,5.0,10.0,0,2000,1
2263,Phytoblade,7,5170,13,25,0,25.0,47.0,0,2800,2
2265,Stonesplinter Axe,0,19297,13,13,8,10.0,20.0,0,2200,2
2266,Stonesplinter Dagger,15,20427,13,13,8,7.0,14.0,0,1500,2
2267,Stonesplinter Mace,4,5208,13,15,10,10.0,20.0,0,2000,2
2268,Stonesplinter Blade,7,20213,21,10,5,6.0,12.0,0,2000,1
2271,Staff of the Blessed Seer,10,20346,17,23,18,47.0,71.0,0,3000,3
2281,Rodentia Flint Axe,0,19297,13,11,6,8.0,16.0,0,2000,2
2282,Rodentia Shortsword,7,20211,21,10,5,7.0,13.0,0,2300,1
2361,Battleworn Hammer,5,8690,17,2,1,3.0,5.0,0,2900,1
2479,Broad Axe,1,8512,17,4,1,5.0,8.0,0,3100,1
2480,Large Club,5,19601,17,3,1,4.0,6.0,0,3200,1
2482,Inferior Tomahawk,0,8488,13,3,1,1.0,3.0,0,2100,1
2483,Rough Broad Axe,1,19243,17,3,1,3.0,5.0,0,2800,1
2484,Small Knife,15,6442,13,4,1,1.0,3.0,0,1400,1
2485,Splintered Board,4,5219,21,3,1,1.0,4.0,0,2000,1
2486,Large Stone Mace,5,19627,17,3,1,3.0,6.0,0,3200,1
2488,Gladius,7,22078,13,9,4,5.0,11.0,0,2100,1
2489,Two-handed Sword,8,22094,17,7,2,8.0,13.0,0,2900,1
2490,Tomahawk,0,8488,13,9,4,4.0,9.0,0,1700,1
2491,Large Axe,1,22112,17,8,3,9.0,15.0,0,2800,1
2492,Cudgel,4,12992,13,7,2,3.0,7.0,0,1800,1
2493,Wooden Mallet,5,22121,17,9,4,10.0,16.0,0,2600,1
2494,Stiletto,15,22136,13,8,3,3.0,7.0,0,1500,1
2495,Walking Stick,10,7310,17,8,3,8.0,13.0,0,2500,1
2497,Rusted Claymore,8,2399,17,9,4,10.0,16.0,0,3100,1
2498,Small Tomahawk,0,19299,13,8,3,4.0,8.0,0,1800,1
2499,Double-bladed Axe,1,8511,17,9,4,12.0,19.0,0,3200,1
2500,Light Hammer,4,19626,21,7,2,3.0,6.0,0,1700,1
2501,Wooden Warhammer,5,19614,17,9,4,12.0,18.0,0,3000,1
2502,Scuffed Dagger,15,6444,13,7,2,3.0,6.0,0,1500,1
2503,Adept Short Staff,10,20436,17,8,3,8.0,13.0,0,2400,1
2504,Worn Shortbow,2,8106,15,2,1,5.0,10.0,0,2300,1
2505,Polished Shortbow,2,20723,15,4,1,5.0,10.0,0,2000,1
2506,Hornwood Recurve Bow,2,20722,15,8,3,6.0,13.0,0,2100,1
2507,Laminated Recurve Bow,2,20714,15,16,11,15.0,29.0,0,2600,1
2508,Old Blunderbuss,3,6606,26,2,1,5.0,10.0,0,2300,1
2509,Ornate Blunderbuss,3,6607,26,9,4,7.0,15.0,0,2200,1
2510,Solid Blunderbuss,3,6594,26,3,1,5.0,10.0,0,2200,1
2511,Hunter's Boomstick,3,20728,26,14,9,11.0,21.0,0,2100,1
2567,Evocator's Blade,15,20590,13,23,18,17.0,32.0,0,1600,3
2632,Curved Dagger,15,20473,13,14,9,8.0,15.0,0,1600,2
2754,Tarnished Bastard Sword,8,20117,17,3,1,4.0,6.0,0,3200,1
2763,Fisherman Knife,15,6437,13,14,9,4.0,8.0,0,1400,0
2764,Small Dagger,15,6444,13,18,13,5.0,10.0,0,1400,0
2765,Hunting Knife,15,20383,13,23,18,8.0,16.0,0,1700,0
2773,Cracked Shortbow,2,2786,15,8,3,6.0,12.0,0,2300,0
2774,Rust-covered Blunderbuss,3,20654,26,7,2,6.0,12.0,0,2400,0
2777,Feeble Shortbow,2,2787,15,13,8,7.0,13.0,0,1800,0
2778,Cheap Blunderbuss,3,20654,26,13,8,8.0,16.0,0,2200,0
2780,Light Hunting Bow,2,20712,15,19,14,9.0,17.0,0,1700,0
2781,Dirty Blunderbuss,3,20979,26,18,13,11.0,21.0,0,2200,0
2782,Mishandled Recurve Bow,2,20671,15,24,19,15.0,29.0,0,2400,0
2783,Shoddy Blunderbuss,3,20717,26,22,17,12.0,23.0,0,2100,0
2787,Trogg Dagger,15,20534,13,3,1,1.0,2.0,0,1500,1
2807,Guillotine Axe,0,9118,13,23,18,28.0,53.0,0,2700,3
2808,Torch of Holy Flame,14,3947,13,29,19,26.0,40.0,0,2900,1
2821,Mo'grosh Masher,4,19633,13,18,13,16.0,30.0,0,2500,2
2822,Mo'grosh Toothpick,8,20091,17,18,13,26.0,40.0,0,2800,2
2823,Mo'grosh Can Opener,1,19236,17,19,14,32.0,48.0,0,3200,2
2844,Copper Mace,4,2861,21,9,4,6.0,11.0,0,2200,1
2845,Copper Axe,0,14035,21,9,4,5.0,10.0,0,1900,1
2847,Copper Shortsword,7,4805,21,9,4,5.0,11.0,0,2100,1
2848,Bronze Mace,4,5198,21,22,17,20.0,38.0,0,2600,2
2849,Bronze Axe,0,19929,21,23,18,17.0,32.0,0,2100,2
2850,Bronze Shortsword,7,3855,21,24,19,18.0,34.0,0,2100,2
2901,Mining Pick,14,6568,21,4,1,2.0,4.0,0,2000,1
2903,Daryl's Hunting Bow,2,8107,15,15,0,14.0,26.0,0,2300,2
2904,Daryl's Hunting Rifle,3,20732,26,16,0,16.0,30.0,0,2500,2
2907,Dwarven Tree Chopper,1,19227,17,20,0,34.0,52.0,0,3300,2
2908,Thornblade,15,20605,13,20,0,11.0,21.0,0,1600,2
2950,Icicle Rod,10,20378,17,25,0,51.0,77.0,0,3800,2
3021,Ranger Bow,2,20673,15,25,20,30.0,57.0,0,2700,3
3023,Large Bore Blunderbuss,3,20727,26,21,16,18.0,35.0,0,2500,1
3026,Reinforced Bow,2,20675,15,21,16,16.0,31.0,0,2200,1
3027,Heavy Recurve Bow,2,20670,15,25,20,21.0,40.0,0,2400,1
3036,Heavy Shortbow,2,5392,15,15,10,15.0,29.0,0,2500,2
3039,Short Ash Bow,2,20672,15,23,18,16.0,31.0,0,1900,2
3040,Hunter's Muzzle Loader,3,20740,26,19,14,13.0,25.0,0,1800,2
3071,Striking Hatchet,0,19209,21,12,0,6.0,12.0,0,1700,1
3079,Skorn's Rifle,3,20738,26,12,0,9.0,18.0,0,1900,2
3103,Coldridge Hammer,5,8588,17,12,0,18.0,27.0,0,2700,2
3154,Thelsamar Axe,0,18340,13,18,0,13.0,25.0,0,2100,2
3184,Hook Dagger,15,20396,13,20,15,10.0,20.0,0,1500,2
3188,Coral Claymore,8,20072,17,15,10,22.0,34.0,0,2800,2
3189,Wood Chopper,1,8525,17,8,3,11.0,17.0,0,3300,1
3190,Beatstick,5,6799,17,8,3,9.0,14.0,0,2600,1
3191,Arced War Axe,1,11165,17,26,20,57.0,86.0,0,3300,3
3192,Short Bastard Sword,8,26590,17,12,7,20.0,30.0,0,3000,2
3193,Oak Mallet,5,19545,17,21,16,38.0,58.0,0,3500,2
3194,Black Malice,5,19622,17,21,16,48.0,73.0,0,3300,3
3195,Barbaric Battle Axe,1,8499,17,18,13,34.0,52.0,0,3600,2
3196,Edged Bastard Sword,8,26585,17,18,13,29.0,44.0,0,3100,2
3198,Battering Hammer,5,8585,17,23,18,37.0,57.0,0,3100,2
3199,Battle Slayer,1,19372,17,22,17,38.0,58.0,0,3300,2
3209,Ancient War Sword,8,20250,17,32,0,57.0,86.0,0,3300,2
3222,Wicked Dagger,15,20607,13,19,14,9.0,17.0,0,1600,2
3223,Frostmane Scepter,4,19624,13,11,6,9.0,17.0,0,2200,2
3225,Bloodstained Knife,15,6437,13,9,4,4.0,8.0,0,1600,1
3227,Nightbane Staff,10,20381,17,23,18,32.0,49.0,0,2700,2
3262,Putrid Wooden Hammer,4,21052,21,3,1,1.0,3.0,0,2000,1
3267,Forsaken Shortsword,7,20176,21,5,0,3.0,6.0,0,2100,1
3268,Forsaken Dagger,15,6432,13,5,0,2.0,4.0,0,1600,1
3269,Forsaken Maul,4,19772,21,5,0,2.0,5.0,0,1900,1
3277,Executor Staff,10,20444,17,5,0,6.0,9.0,0,2900,1
3293,Deadman Cleaver,0,19281,21,3,1,1.0,4.0,0,2200,1
3294,Deadman Club,4,5203,21,3,1,1.0,3.0,0,1800,1
3295,Deadman Blade,7,3434,21,3,1,2.0,4.0,0,2500,1
3296,Deadman Dagger,15,6442,13,3,1,1.0,2.0,0,1400,1
3319,Short Sabre,7,5007,21,9,4,5.0,10.0,0,1900,1
3325,Vile Fin Battle Axe,1,19252,17,9,4,12.0,19.0,0,3100,1
3327,Vile Fin Oracle Staff,10,20434,17,9,4,11.0,18.0,0,2900,1
3329,Spiked Wooden Plank,4,5204,21,11,6,6.0,12.0,0,1900,1
3334,Farmer's Shovel,5,7495,17,7,2,11.0,17.0,0,3700,1
3335,Farmer's Broom,10,3509,17,6,3,9.0,14.0,0,3500,1
3400,Lucine Longsword,7,20110,13,25,0,22.0,42.0,0,2500,2
3413,Doomspike,15,20589,13,25,20,17.0,32.0,0,1500,3
3415,Staff of the Friar,10,20339,17,24,19,42.0,64.0,0,2600,3
3440,Bonecracker,5,6806,17,13,0,23.0,35.0,0,3200,2
3443,Ceremonial Tomahawk,0,8495,21,10,0,5.0,10.0,0,1700,1
3445,Ceremonial Knife,15,20599,13,12,0,5.0,10.0,0,1400,1
3446,Darkwood Staff,10,20419,17,13,0,23.0,35.0,0,3200,2
3452,Ceranium Rod,10,5120,17,22,0,31.0,47.0,0,2700,2
3455,Deathstalker Shortsword,7,20015,13,11,0,7.0,14.0,0,2100,1
3462,Talonstrike,7,28607,13,24,0,13.0,26.0,0,1600,2
3487,Heavy Copper Broadsword,8,20196,17,19,14,27.0,41.0,0,2700,2
3488,Copper Battle Axe,1,8516,17,13,8,23.0,35.0,0,3200,2
3489,Thick War Axe,0,8496,13,17,12,15.0,28.0,0,2500,2
3490,Deadly Bronze Poniard,15,6445,13,25,20,16.0,30.0,0,1800,2
3491,Heavy Bronze Mace,4,5211,13,25,20,25.0,47.0,0,2800,2
3493,Raptor's End,2,20664,15,30,0,33.0,62.0,0,2900,2
3567,Dwarven Fishing Pole,3,6601,26,19,0,14.0,26.0,0,1900,2
3570,Bonegrinding Pestle,4,8100,13,16,0,13.0,26.0,0,2400,2
3571,Trogg Beater,5,19546,17,21,16,39.0,60.0,0,3600,2
3572,Daryl's Shortsword,7,5151,13,17,0,14.0,26.0,0,2300,2
3581,Serrated Knife,15,20414,13,18,0,10.0,19.0,0,1600,2
3586,Logsplitter,1,19231,17,16,0,31.0,47.0,0,3600,2
3661,Handcrafted Staff,10,18530,17,2,1,3.0,5.0,0,2900,1
3740,Decapitating Sword,7,22226,21,24,19,22.0,42.0,0,2600,2
3742,Bow of Plunder,2,20667,15,28,0,28.0,52.0,0,2600,2
3755,Fish Gutter,0,19228,13,32,0,24.0,46.0,0,2100,2
3822,Runic Darkblade,8,20180,17,32,0,57.0,86.0,0,3300,2
3848,Big Bronze Knife,15,6434,13,20,15,13.0,25.0,0,1900,2
3902,Staff of Nobles,10,20412,17,18,13,30.0,46.0,0,3200,2
3935,Smotts' Cutlass,7,7311,13,25,20,15.0,29.0,0,1900,1
4086,Flash Rifle,3,20736,26,37,0,25.0,48.0,0,1800,2
4110,Master Hunter's Bow,2,20555,15,45,0,35.0,65.0,0,2400,2
4111,Master Hunter's Rifle,3,8095,26,45,0,37.0,70.0,0,2600,2
4116,Olmann Sewar,7,20223,13,41,0,43.0,81.0,0,2700,2
4122,Bookmaker's Scepter,4,3498,13,37,0,31.0,59.0,0,2300,2
4126,Guerrilla Cleaver,0,19217,13,34,0,34.0,65.0,0,2800,2
4127,Shrapnel Blaster,3,20662,26,40,0,30.0,57.0,0,1900,2
4128,Silver Spade,5,18269,17,41,0,89.0,134.0,0,3700,2
4134,Nimboya's Mystical Staff,10,20294,17,46,0,74.0,112.0,0,2300,3
4302,Small Green Dagger,15,3006,13,10,5,4.0,9.0,0,1500,1
4303,Cranial Thumper,4,19615,13,12,7,12.0,24.0,0,2800,2
4362,Rough Boomstick,3,6600,26,10,5,10.0,19.0,0,2300,2
4369,Deadly Blunderbuss,3,20743,26,21,16,21.0,39.0,0,2600,2
4372,Lovingly Crafted Boomstick,3,6594,26,24,19,16.0,31.0,0,1800,2
4437,Channeler's Staff,10,20390,17,20,15,35.0,54.0,0,3400,2
4439,Bruiser Club,4,6795,13,22,17,17.0,32.0,0,2200,2
4445,Flesh Carver,0,19398,13,23,18,18.0,35.0,0,2300,2
4511,Black Water Hammer,4,19783,13,40,0,42.0,78.0,0,2700,2
4547,Gnomish Zapper,19,21016,26,40,0,29.0,56.0,6,1300,2
4548,Servomechanic Sledgehammer,5,3151,17,41,0,53.0,80.0,0,2200,2
4560,Fine Scimitar,7,4788,13,6,1,3.0,6.0,0,1900,1
4561,Scalping Tomahawk,0,19299,21,11,6,7.0,14.0,0,1800,2
4562,Severing Axe,1,8531,17,10,5,18.0,27.0,0,3200,2
4563,Billy Club,4,4609,21,9,4,6.0,11.0,0,2200,1
4564,Spiked Club,5,6813,17,13,8,22.0,34.0,0,3100,2
4565,Simple Dagger,15,6433,13,6,1,3.0,6.0,0,1800,1
4566,Sturdy Quarterstaff,10,20420,17,13,8,20.0,30.0,0,2800,2
4567,Merc Sword,8,20111,17,16,11,24.0,36.0,0,2800,2
4568,Grunt Axe,0,22478,13,21,16,17.0,32.0,0,2300,2
