# entry,difficulty_entry_1,difficulty_entry_2,difficulty_entry_3,KillCredit1,KillCredit2,name,subname,IconName,gossip_menu_id,minlevel,maxlevel,exp,faction,npcflag,speed_walk,speed_run,speed_swim,speed_flight,detection_range,rank,dmgschool,DamageModifier,BaseAttackTime,RangeAttackTime,BaseVariance,RangeVariance,unit_class,unit_flags,unit_flags2,dynamicflags,family,type,type_flags,lootid,pickpocketloot,skinloot,PetSpellDataId,VehicleId,mingold,maxgold,AIName,MovementType,HoverHeight,HealthModifier,ManaModifier,ArmorModifier,ExperienceModifier,RacialLeader,movementId,RegenHealth,CreatureImmunitiesId,flags_extra,ScriptName,VerifiedBuild,model_idx,display_id,display_scale,model_probability,model_verified_build
61,0,0,0,0,0,Thuros Lightfingers,\N,\N,0,11,11,0,17,0,1,1.14286,1,1,20,4,0,1,1700,2000,1,1,1,0,2048,0,0,7,0,61,0,0,0,0,11,19,SmartAI,0,1,1,1,1,1,0,0,1,0,0,,12340,0,3341,1,1,51831
62,0,0,0,0,0,Gug Fatcandle,,\N,0,4,4,0,26,0,1,0.857143,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,100,1,0,0,,12340,0,26,1,1,51831
65,0,0,0,0,0,Peasant Woman,,\N,0,1,2,0,12,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,2,,12340,0,13,1,1,51831
66,0,0,0,0,0,Tharynn Bouden,Trade Supplies,\N,0,10,10,0,12,128,1,1.14286,1,1,18,0,0,1,1500,2000,1,1,1,512,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,2,,12340,0,1298,1,1,51831
67,0,0,0,0,0,[UNUSED] Marlon Darnik,Grocer,,0,5,5,0,12,0,1,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,0,,12340,0,23,1,1,51831
68,0,0,0,0,0,Stormwind City Guard,\N,Directions,435,75,75,2,11,1,1,1.42857,1,1,18,0,0,1,2000,2000,1,1,1,32768,2048,0,0,7,0,0,0,0,0,0,0,0,SmartAI,0,1,1.5,1,1,1,0,144,1,0,98304,,12340,0,3167,1,1,12340
68,0,0,0,0,0,Stormwind City Guard,\N,Directions,435,75,75,2,11,1,1,1.42857,1,1,18,0,0,1,2000,2000,1,1,1,32768,2048,0,0,7,0,0,0,0,0,0,0,0,SmartAI,0,1,1.5,1,1,1,0,144,1,0,98304,,12340,1,5446,1,1,12340
69,0,0,0,0,0,Diseased Timber Wolf,\N,\N,0,2,2,0,32,0,1,0.85714,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,1,1,1,69,0,0,13060,0,0,0,,1,1,1,1,1,1,0,100,1,0,2,,12340,0,31048,1,1,51831
70,0,0,0,0,0,[UNUSED] Lower Class Citizen,,,0,1,2,0,12,0,1,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,0,,12340,0,13,1,1,51831
71,0,0,0,0,0,Rankist,,\N,0,5,7,0,14,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,2,,12340,0,137,1,1,51831
72,0,0,0,0,0,[UNUSED] Antaris the Trader,,,0,20,20,0,2000,0,1,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1.2,1,1,1,0,0,1,0,0,,12340,0,19,1,1,51831
73,0,0,0,0,0,Veraina the Apothecary,Questgiver,\N,0,40,40,0,35,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1.15,1,1,1,0,0,1,0,2,,12340,0,15,1,1,51831
74,0,0,0,0,0,Kurran Steele,Cloth & Leather Armor Merchant,\N,0,10,10,0,12,4224,1,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,512,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,2,,12340,0,1289,1,1,51831
75,0,0,0,0,0,[UNUSED] Vashaum Nightwither,,,0,12,12,0,17,0,1,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,0,,12340,0,166,1,1,51831
78,0,0,0,0,0,Janos Hammerknuckle,Weaponsmith,\N,0,5,5,0,12,4224,1,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,768,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,2,,12340,0,3275,1,1,12340
79,0,0,0,0,0,Narg the Taskmaster,\N,\N,0,10,10,0,26,0,1,0.85714,1,1,20,4,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,79,0,0,0,0,11,19,SmartAI,1,1,1.3,1,1,1,0,100,1,0,0,,12340,0,774,1,1,51831
80,0,0,0,0,0,Kobold Laborer,,\N,0,3,3,0,25,0,1,0.85714,1,1,10,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,80,80,0,0,0,1,5,SmartAI,1,1,1,1,1,1,0,100,1,0,2,,12340,0,365,1,1,51831
81,0,0,0,0,0,[UNUSED] Luglar the Clogger,,,0,5,5,0,26,0,1,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,0,,12340,0,371,1,1,51831
82,0,0,0,0,0,Crazy Leonetti,,\N,0,7,7,0,35,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,0,,12340,0,16,1,1,51831
87,0,0,0,0,0,Forest Troll Berserker,,\N,0,2,4,0,14,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,0,,12340,0,167,1,1,51831
89,0,0,0,0,0,Infernal,,,0,66,70,2,954,0,1,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,32768,2048,0,19,3,0,0,0,0,0,0,0,0,,0,1,1.9,1,1,1,0,121,1,0,0,,12340,0,169,1,1,51831
90,0,0,0,0,0,Sea Giant,,\N,0,40,40,0,14,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,5,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,0,,12340,0,791,1,1,51831
92,0,0,0,0,0,Rock Elemental,\N,\N,0,39,40,0,91,0,1.55556,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,0,4,0,92,0,0,0,0,0,0,,1,1,1.15,1,1,1,0,0,1,-298,0,,12340,0,171,1,1,51831
93,0,0,0,0,0,Centaur,,\N,0,1,2,0,35,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,0,,12340,0,172,1,1,51831
94,0,0,0,0,0,Defias Cutpurse,\N,\N,0,5,6,0,17,0,1,0.85714,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,94,94,0,0,0,1,12,,1,1,1,1,1,1,0,100,1,0,0,,12340,0,2361,1,1,51831
94,0,0,0,0,0,Defias Cutpurse,\N,\N,0,5,6,0,17,0,1,0.85714,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,94,94,0,0,0,1,12,,1,1,1,1,1,1,0,100,1,0,0,,12340,1,2362,1,1,51831
95,0,0,0,0,0,Defias Smuggler,,\N,0,11,12,0,17,0,1,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,32768,2048,0,0,7,0,95,95,0,0,0,3,24,SmartAI,0,1,1,1,1,1,0,0,1,0,0,,12340,0,4418,1,1,51831
95,0,0,0,0,0,Defias Smuggler,,\N,0,11,12,0,17,0,1,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,32768,2048,0,0,7,0,95,95,0,0,0,3,24,SmartAI,0,1,1,1,1,1,0,0,1,0,0,,12340,1,4419,1,1,51831
97,0,0,0,0,0,Riverpaw Runt,\N,\N,0,8,9,0,20,0,1,0.85714,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,97,97,0,0,0,2,15,SmartAI,1,1,1,1,1,1,0,100,1,0,0,,12340,0,10791,1,1,51831
98,0,0,0,0,0,Riverpaw Taskmaster,,\N,0,17,18,0,20,0,1.2,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,98,98,0,0,0,21,52,SmartAI,1,1,1,1,1,1,0,0,1,0,0,,12340,0,376,1,1,51831
99,0,0,0,0,0,Morgaine the Sly,\N,\N,0,10,10,0,17,0,1,1.14286,1,1,20,4,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,99,99,0,0,0,10,18,SmartAI,0,1,1,1,1,1,0,0,1,0,0,,12340,0,3320,1,1,51831
100,0,0,0,0,0,Gruff Swiftbite,,\N,0,12,12,0,20,0,1.2,1.14286,1,1,20,4,0,1,1500,2000,1,1,1,0,2048,0,0,7,0,100,0,0,0,0,4,21,,1,1,1,1,1,1,0,0,1,0,0,,12340,0,175,1,1,51831
102,0,0,0,0,0,Bronze Dragonspawn,,\N,0,1,2,0,35,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,0,,12340,0,177,1,1,51831
103,0,0,0,0,0,Garrick Padfoot,\N,\N,0,5,5,0,7,0,1,0.85714,1,1,10,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,103,103,0,0,0,1,7,SmartAI,0,1,1,0,1,1,0,100,1,0,0,,12340,0,2073,1,1,12340
105,0,0,0,0,0,Tall Strider,,\N,0,1,2,0,35,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,12,0,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,0,,12340,0,178,1,1,51831
106,0,0,0,0,0,Kodo Beast,,\N,0,1,2,0,35,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,1,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,0,,12340,0,179,1,1,51831
107,0,0,0,0,0,Raptor,,\N,0,1,2,0,35,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,11,1,1,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,2,,12340,0,180,1,1,51831
108,0,0,0,0,0,Green Dragonspawn,,\N,0,1,2,0,35,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,0,,12340,0,181,1,1,51831
109,0,0,0,0,0,White Dragonspawn,,\N,0,1,2,0,35,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,0,,12340,0,182,1,1,51831
111,0,0,0,0,0,Priest,,\N,0,3,4,0,12,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,2,,12340,0,20,1,1,51831
112,0,0,0,0,0,Priestess,,\N,0,3,4,0,12,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,2,,12340,0,14,1,1,51831
113,0,0,0,0,0,Stonetusk Boar,\N,\N,0,5,6,0,189,0,1,0.85714,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,5,1,1,113,0,100002,9081,0,0,0,SmartAI,1,1,1,1,1,1,0,100,1,0,0,,12340,0,503,1,1,51831
114,0,0,0,0,0,Harvest Watcher,,\N,0,14,15,0,14,0,1,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,0,9,0,114,0,0,0,0,4,34,,1,1,1,1,1,1,0,0,1,-93,0,,12340,0,378,1,1,51831
115,0,0,0,0,0,Harvest Reaper,,\N,0,17,18,0,14,0,1,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,0,9,0,115,0,0,0,0,21,42,SmartAI,1,1,1,1,1,1,0,0,1,-93,0,,12340,0,379,1,1,51831
116,0,0,0,0,0,Defias Bandit,\N,\N,0,8,9,0,17,0,1,0.85714,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,116,116,0,0,0,2,14,SmartAI,1,1,1,1,1,1,0,100,1,0,0,,12340,0,2357,1,1,51831
116,0,0,0,0,0,Defias Bandit,\N,\N,0,8,9,0,17,0,1,0.85714,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,116,116,0,0,0,2,14,SmartAI,1,1,1,1,1,1,0,100,1,0,0,,12340,1,2358,1,1,51831
117,0,0,0,0,0,Riverpaw Gnoll,,\N,0,11,12,0,20,0,1.2,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,117,117,0,0,0,3,24,SmartAI,1,1,1,1,1,1,0,0,1,0,0,,12340,0,175,1,1,51831
118,0,0,0,0,0,Prowler,\N,\N,0,9,10,0,38,0,1,0.85714,1,1,18,0,0,1,1500,2000,1,1,1,0,2048,0,1,1,1,118,0,100002,5943,0,0,0,,1,1,1,1,1,1,0,100,1,0,0,,12340,0,11415,1,1,51831
119,0,0,0,0,0,Longsnout,\N,\N,0,10,11,0,189,0,1,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,5,1,1,119,0,100002,9073,0,0,0,SmartAI,1,1,1,1,1,1,0,0,1,0,0,,12340,0,381,1,1,51831
120,0,0,0,0,0,Forest Stalker,,\N,0,9,10,0,22,0,1,0.857143,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,3,1,1,0,0,0,5884,0,0,0,,0,1,1,1,1,1,0,100,1,0,0,,12340,0,366,1,1,51831
121,0,0,0,0,0,Defias Pathstalker,,\N,0,16,16,0,17,0,1,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,32768,2048,0,0,7,0,121,121,0,0,0,5,38,SmartAI,1,1,1,1,1,1,0,0,1,0,0,,12340,0,2336,1,1,51831
121,0,0,0,0,0,Defias Pathstalker,,\N,0,16,16,0,17,0,1,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,32768,2048,0,0,7,0,121,121,0,0,0,5,38,SmartAI,1,1,1,1,1,1,0,0,1,0,0,,12340,1,2337,1,1,51831
122,0,0,0,0,0,Defias Highwayman,,\N,0,17,18,0,17,0,1,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,32768,2048,0,0,7,0,122,122,0,0,0,8,54,SmartAI,1,1,1,1,1,1,0,0,1,0,0,,12340,0,2342,1,1,51831
122,0,0,0,0,0,Defias Highwayman,,\N,0,17,18,0,17,0,1,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,32768,2048,0,0,7,0,122,122,0,0,0,8,54,SmartAI,1,1,1,1,1,1,0,0,1,0,0,,12340,1,2343,1,1,51831
123,0,0,0,0,0,Riverpaw Mongrel,,\N,0,14,14,0,20,0,1,1.19048,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,123,123,0,0,0,4,28,SmartAI,1,1,1,1,1,1,0,0,1,0,0,,12340,0,383,1,1,51831
124,0,0,0,0,0,Riverpaw Brute,,\N,0,15,16,0,20,0,1.2,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,124,124,0,0,0,18,35,SmartAI,1,1,1,1,1,1,0,0,1,0,0,,12340,0,384,1,1,51831
125,0,0,0,0,0,Riverpaw Overseer,,\N,0,19,20,0,20,0,1,1.19048,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,125,0,0,0,0,24,37,SmartAI,1,1,1,1,1,1,0,0,1,0,0,,12340,0,10790,1,1,51831
126,0,0,0,0,0,Murloc Coastrunner,,\N,0,12,13,0,18,0,1,1.42857,1,1,18,0,0,1,2000,2000,1,1,1,32768,2048,0,0,7,0,126,126,0,0,0,3,25,SmartAI,1,1,1,1,1,1,0,144,1,0,0,,12340,0,983,1,1,51831
127,0,0,0,0,0,Murloc Tidehunter,,\N,0,18,19,0,18,0,1,1.14286,1,1,18,0,0,1,2000,2000,1,1,2,32768,2048,0,0,7,0,127,127,0,0,0,13,47,SmartAI,1,1,1,1,1,1,0,0,1,0,0,,12340,0,1995,1,1,51831
128,0,0,0,0,0,Angry Programmer Tweedle Dee,Testing,\N,0,59,59,0,18,0,1.26,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,0,10,0,0,0,0,0,0,117,586,,0,1,1,1,1,1,0,0,1,0,0,,12340,0,1415,1,1,12340
129,0,0,0,0,0,Angry Programmer Tweedle Dum,,\N,0,50,75,0,14,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,10,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,2,,12340,0,138,1,1,51831
130,0,0,0,0,0,Programmer Vendor,,\N,0,62,62,0,35,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1.35,1,1,1,0,0,1,0,0,,12340,0,62,1,1,51831
149,0,0,0,0,0,[UNUSED] Small Black Dragon Whelp,,,0,6,7,0,14,0,1,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,2,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,100,1,0,0,,12340,0,387,1,1,51831
150,0,0,0,0,0,[UNUSED] Brother Milius,Bowyer,,0,5,5,0,12,0,1,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,0,,12340,0,190,1,1,51831
151,0,0,0,0,0,Brog Hamfist,General Supplies,\N,0,10,10,0,12,384,1,1.14286,1,1,18,0,0,1,1500,2000,1,1,1,512,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,2,,12340,0,1292,1,1,51831
152,0,0,0,0,0,Brother Danil,General Supplies,\N,0,5,5,0,12,384,1,1.14286,1,1,18,0,0,1,1500,2000,1,1,1,768,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,2,,12340,0,3277,1,1,12340
153,0,0,0,0,0,Bethina,Baby Murloc Redemption Merchant,\N,0,35,35,0,12,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,2,,12340,0,14947,1,1,12340
154,0,0,0,0,0,Greater Fleshripper,,\N,0,16,17,0,73,0,1,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,7,1,1,154,0,0,8834,0,0,0,SmartAI,1,1,1,1,1,1,0,0,1,0,0,,12340,0,1105,1,1,51831
157,0,0,0,0,0,Goretusk,,\N,0,14,15,0,189,0,1,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,5,1,1,157,0,100015,9085,0,0,0,SmartAI,1,1,1,1,1,1,0,0,1,0,2,,12340,0,3027,1,1,51831
161,0,0,0,0,0,[UNUSED] Ander the Monk,,,0,10,10,0,12,0,1,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,0,,12340,0,18,1,1,51831
163,0,0,0,0,0,[UNUSED] Destitute Farmer,,,0,4,4,0,12,0,1,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,0,,12340,0,18,1,1,51831
165,0,0,0,0,0,[UNUSED] Small Child,,,0,1,1,0,12,0,1,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,0,,12340,0,390,1,1,51831
167,0,0,0,0,0,Morhan Coppertongue,Metalsmith,\N,0,13,13,0,55,4224,1,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,512,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,2,,12340,0,1844,1,1,51831
171,0,0,0,0,0,Murloc Warrior,,\N,0,15,16,0,18,0,1,0.857143,1,1,18,0,0,1,3000,2000,1,1,1,32768,2048,0,0,7,0,171,171,0,0,0,7,36,SmartAI,1,1,1,1,1,1,0,100,1,0,0,,12340,0,1305,1,1,51831
190,0,0,0,0,0,Dermot Johns,Cloth & Leather Armor Merchant,\N,0,5,5,0,12,4224,1,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,768,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,2,,12340,0,3276,1,1,12340
192,0,0,0,0,0,Ice Troll,,\N,0,62,62,0,37,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1.35,1,1,1,0,0,1,0,0,,12340,0,195,1,1,51831
